City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,souillac,-20.5167,57.5167,24.79,83,37,0.85,MU,1680642541
1,shu,43.5983,73.7614,10.53,39,100,1.76,KZ,1680642541
2,hofn,64.2539,-15.2082,6.44,96,100,4.78,IS,1680642542
3,bluff,-46.6,168.3333,14.89,78,25,7.98,NZ,1680642542
4,hithadhoo,-0.6,73.0833,27.95,72,41,2.82,MV,1680642543
5,thompson,55.7435,-97.8558,-3.83,77,100,2.76,CA,1680642543
6,barra patuca,15.8,-84.2833,28.43,59,1,6.38,HN,1680642545
7,bongandanga,1.5,21.05,22.15,92,88,1.17,CD,1680642545
8,barrow,71.2906,-156.7887,-21.99,77,75,5.14,US,1680642545
9,krasnoselkup,65.7,82.4667,-9.58,81,100,7.65,RU,1680642546
10,hobart,-42.8794,147.3294,10.03,90,20,4.12,AU,1680642394
11,yellowknife,62.456,-114.3525,-7.63,84,82,3.32,CA,1680642546
12,butaritari,3.0707,172.7902,27.69,81,84,7.41,KI,1680642546
13,ushuaia,-54.8,-68.3,11.81,40,75,3.6,AR,1680642424
14,altamira,-3.2033,-52.2064,24.96,95,31,1.38,BR,1680642547
15,busselton,-33.65,115.3333,14.78,76,32,3.95,AU,1680642547
16,lunao,8.8503,125.0564,24.07,91,91,0.57,PH,1680642548
17,punta arenas,-53.15,-70.9167,13.06,44,0,1.54,CL,1680642548
18,merauke,-8.4667,140.3333,24.24,93,99,3.12,ID,1680642548
19,cidreira,-30.1811,-50.2056,22.12,80,100,4.26,BR,1680642538
20,sosnovo-ozerskoye,52.5249,111.5418,-5.17,75,100,4.79,RU,1680642550
21,sabzevar,36.2126,57.6819,10.5,40,28,1.11,IR,1680642550
22,albany,42.6001,-73.9662,15.68,66,100,0.89,US,1680642362
23,east london,-33.0153,27.9116,18.71,80,3,2.2,ZA,1680642552
24,nilai,2.8169,101.7956,26.72,94,20,1.03,MY,1680642552
25,airai,-8.9266,125.4092,14.67,92,98,1.05,TL,1680642553
26,bethel,41.3712,-73.414,23.69,56,0,5.66,US,1680642514
27,san cristobal,7.7669,-72.225,26.1,52,37,1.8,VE,1680642554
28,byron bay,-28.65,153.6167,18.73,87,11,4.1,AU,1680642554
29,tuktoyaktuk,69.4541,-133.0374,-7.8,85,100,3.25,CA,1680642555
30,egvekinot,66.3167,-179.1667,-22.59,90,96,0.91,RU,1680642555
31,jinka,5.65,36.65,17.43,85,94,1.47,ET,1680642555
32,trinidad,-14.8333,-64.9,26.83,85,98,1.59,BO,1680642556
33,jamestown,42.097,-79.2353,14.8,67,75,4.63,US,1680642321
34,waiouru,-39.4833,175.6667,12.28,51,41,1.2,NZ,1680642556
35,atuona,-9.8,-139.0333,26.89,72,10,6.02,PF,1680642556
36,puerto ayora,-0.7393,-90.3518,29.98,87,80,3.13,EC,1680642557
37,chunhuhub,19.55,-88.6833,35.04,24,30,4.52,MX,1680642413
38,georgetown,5.4112,100.3354,26.97,88,20,2.68,MY,1680642378
39,mar del plata,-38.0023,-57.5575,17.19,73,20,2.57,AR,1680642381
40,esperance,-33.8667,121.9,14.91,76,3,6.97,AU,1680642558
41,victor harbor,-35.5667,138.6167,16.49,53,6,3.2,AU,1680642558
42,la ronge,55.1001,-105.2842,-1.73,81,96,1.89,CA,1680642558
